Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,processed
1,5.1,3.5,1.4,0.2,Iris-setosa,10.2
2,4.9,3.0,1.4,0.2,Iris-setosa,9.8
3,4.7,3.2,1.3,0.2,Iris-setosa,9.4
4,4.6,3.1,1.5,0.2,Iris-setosa,9.2
5,5.0,3.6,1.4,0.2,Iris-setosa,10.0
6,5.4,3.9,1.7,0.4,Iris-setosa,10.8
7,4.6,3.4,1.4,0.3,Iris-setosa,9.2
8,5.0,3.4,1.5,0.2,Iris-setosa,10.0
9,4.4,2.9,1.4,0.2,Iris-setosa,8.8
10,4.9,3.1,1.5,0.1,Iris-setosa,9.8
11,5.4,3.7,1.5,0.2,Iris-setosa,10.8
12,4.8,3.4,1.6,0.2,Iris-setosa,9.6
13,4.8,3.0,1.4,0.1,Iris-setosa,9.6
14,4.3,3.0,1.1,0.1,Iris-setosa,8.6
15,5.8,4.0,1.2,0.2,Iris-setosa,11.6
16,5.7,4.4,1.5,0.4,Iris-setosa,11.4
17,5.4,3.9,1.3,0.4,Iris-setosa,10.8
18,5.1,3.5,1.4,0.3,Iris-setosa,10.2
19,5.7,3.8,1.7,0.3,Iris-setosa,11.4
20,5.1,3.8,1.5,0.3,Iris-setosa,10.2
21,5.4,3.4,1.7,0.2,Iris-setosa,10.8
22,5.1,3.7,1.5,0.4,Iris-setosa,10.2
23,4.6,3.6,1.0,0.2,Iris-setosa,9.2
24,5.1,3.3,1.7,0.5,Iris-setosa,10.2
25,4.8,3.4,1.9,0.2,Iris-setosa,9.6
26,5.0,3.0,1.6,0.2,Iris-setosa,10.0
27,5.0,3.4,1.6,0.4,Iris-setosa,10.0
28,5.2,3.5,1.5,0.2,Iris-setosa,10.4
29,5.2,3.4,1.4,0.2,Iris-setosa,10.4
30,4.7,3.2,1.6,0.2,Iris-setosa,9.4
31,4.8,3.1,1.6,0.2,Iris-setosa,9.6
32,5.4,3.4,1.5,0.4,Iris-setosa,10.8
33,5.2,4.1,1.5,0.1,Iris-setosa,10.4
34,5.5,4.2,1.4,0.2,Iris-setosa,11.0
35,4.9,3.1,1.5,0.1,Iris-setosa,9.8
36,5.0,3.2,1.2,0.2,Iris-setosa,10.0
37,5.5,3.5,1.3,0.2,Iris-setosa,11.0
38,4.9,3.1,1.5,0.1,Iris-setosa,9.8
39,4.4,3.0,1.3,0.2,Iris-setosa,8.8
40,5.1,3.4,1.5,0.2,Iris-setosa,10.2
41,5.0,3.5,1.3,0.3,Iris-setosa,10.0
42,4.5,2.3,1.3,0.3,Iris-setosa,9.0
43,4.4,3.2,1.3,0.2,Iris-setosa,8.8
44,5.0,3.5,1.6,0.6,Iris-setosa,10.0
45,5.1,3.8,1.9,0.4,Iris-setosa,10.2
46,4.8,3.0,1.4,0.3,Iris-setosa,9.6
47,5.1,3.8,1.6,0.2,Iris-setosa,10.2
48,4.6,3.2,1.4,0.2,Iris-setosa,9.2
49,5.3,3.7,1.5,0.2,Iris-setosa,10.6
